symptoms,disease
fever headache body ache fatigue chills,Influenza
fever high temperature sweating chills headache muscle pain,Malaria
cough cold runny nose sneezing sore throat mild fever,Common Cold
cough chest pain shortness breath fever mucus,Pneumonia
severe headache stiff neck high fever sensitivity light nausea vomiting,Meningitis
abdominal pain nausea vomiting diarrhea fever,Gastroenteritis
frequent urination burning urination lower abdominal pain,Urinary Tract Infection
chest pain shortness breath sweating nausea left arm pain,Heart Attack
severe chest pain difficulty breathing rapid heart rate,Arrhythmia
joint pain swelling redness stiffness morning stiffness,Arthritis
fatigue weight gain cold intolerance dry skin hair loss constipation,Hypothyroidism
weight loss excessive thirst frequent urination blurred vision fatigue,Diabetes
skin rash itching redness swelling hives,Allergic Reaction
jaundice yellow eyes dark urine fatigue abdominal pain,Hepatitis A
yellowing skin eyes dark urine pale stool nausea,Jaundice
runny nose sneezing itchy eyes watery eyes mild cough,Allergic Rhinitis
skin itching rash dry skin inflammation redness,Dermatitis
burning chest pain acid reflux heartburn sour taste throat,GERD
nausea vomiting diarrhea stomach cramps food poisoning,Food Poisoning
severe abdominal pain right side fever nausea vomiting,Appendicitis
sudden severe headache worst headache life stiff neck,Subarachnoid Hemorrhage
vision changes headache nausea high blood pressure,Hypertension
tremors stiffness slow movement balance problems,Parkinson Disease
memory loss confusion disorientation forgetfulness,Alzheimer Disease
depression sadness fatigue loss interest sleep problems,Depression
anxiety excessive worry panic attacks restlessness,Anxiety Disorder
insomnia difficulty sleeping restlessness fatigue,Insomnia
back pain lower back stiffness muscle spasm,Lower Back Pain
neck pain stiffness headache shoulder pain,Cervical Spondylosis
knee pain swelling difficulty walking,Knee Osteoarthritis
tooth pain swelling gum pain sensitivity,Dental Abscess
ear pain hearing loss discharge fever earache,Ear Infection
eye redness pain discharge blurred vision,Conjunctivitis
sore throat difficulty swallowing fever tonsil swelling,Tonsillitis
nasal congestion facial pain pressure headache fever,Sinusitis
frequent urination urgency blood in urine,Bladder Infection
irregular heartbeat palpitations dizziness shortness breath,Atrial Fibrillation
excessive thirst frequent urination weight loss blurred vision,Type 2 Diabetes
cold hands feet numbness tingling poor circulation,Peripheral Artery Disease
fatigue weakness pale skin shortness breath anemia,Anemia
hair loss bald patches scalp itching,Alopecia
acne pimples blackheads oily skin,Acne
psoriasis thick red skin patches scales itching,Psoriasis
eczema itchy inflamed skin rash weeping,Eczema
chickenpox fever rash blisters itching,Chickenpox
measles fever rash koplik spots runny nose,Measles
mumps swollen glands jaw pain difficulty chewing fever,Mumps
malaria fever chills sweating headache vomiting,Malaria
typhoid prolonged fever abdominal pain headache weakness,Typhoid Fever
dengue high fever severe headache pain behind eyes,Dengue Fever
tuberculosis chronic cough blood sputum weight loss night sweats,Tuberculosis
pneumonia cough fever chills chest pain breathing difficulty,Pneumonia
bronchitis cough mucus chest pain mild fever,Bronchitis
asthma wheezing shortness breath chest tightness cough,Asthma
kidney stones severe flank pain blood urine nausea vomiting,Kidney Stones
gallstones upper right abdominal pain nausea fatty food intolerance,Gallstones
liver cirrhosis jaundice fatigue swelling abdomen,Liver Cirrhosis
hepatitis B jaundice fatigue nausea dark urine,Hepatitis B
HIV fatigue fever weight loss night sweats infections,HIV/AIDS
cancer unexplained weight loss fatigue lump bleeding,Cancer
stroke sudden numbness weakness face arm leg confusion speech,Stroke
